====Running MPQLAM experiment with seed 0 on instance with IP = ec2-13-57-184-46.us-west-1.compute.amazonaws.com ==== 
====Running MPQLAM experiment with seed 0 on instance with IP = ec2-13-57-184-46.us-west-1.compute.amazonaws.com ==== 
====Running MPQLAM experiment with seed 0 on instance with IP = ec2-13-57-184-46.us-west-1.compute.amazonaws.com ==== 
----------------------------------------
Test Episodes: 30, Avg. Reward: -1001.46 Avg. Success: 0.0 Std. Reward: 0.0
----------------------------------------
Episode: 212, total numsteps: 21300, episode steps: 100, reward: -621.39
Episode: 213, total numsteps: 21400, episode steps: 100, reward: -627.22
Episode: 214, total numsteps: 21500, episode steps: 100, reward: -531.58
Episode: 215, total numsteps: 21600, episode steps: 100, reward: -608.86
Episode: 216, total numsteps: 21700, episode steps: 100, reward: -623.61
Episode: 217, total numsteps: 21800, episode steps: 100, reward: -522.89
Episode: 218, total numsteps: 21900, episode steps: 100, reward: -621.91
Episode: 219, total numsteps: 22000, episode steps: 100, reward: -4.44
Episode: 220, total numsteps: 22100, episode steps: 100, reward: -560.63
Episode: 221, total numsteps: 22200, episode steps: 100, reward: -613.29
Episode: 222, total numsteps: 22300, episode steps: 100, reward: -609.98
Episode: 223, total numsteps: 22400, episode steps: 100, reward: -529.2
Episode: 224, total numsteps: 22500, episode steps: 100, reward: -560.48
Episode: 225, total numsteps: 22600, episode steps: 100, reward: -592.26
Episode: 226, total numsteps: 22700, episode steps: 100, reward: -597.49
Episode: 227, total numsteps: 22800, episode steps: 100, reward: -575.22
Episode: 228, total numsteps: 22900, episode steps: 100, reward: -609.46
Episode: 229, total numsteps: 23000, episode steps: 100, reward: -606.88
Episode: 230, total numsteps: 23100, episode steps: 100, reward: -17.32
Episode: 231, total numsteps: 23200, episode steps: 100, reward: -587.93
Episode: 232, total numsteps: 23300, episode steps: 100, reward: -612.7
Episode: 233, total numsteps: 23400, episode steps: 100, reward: -75.4
Episode: 234, total numsteps: 23500, episode steps: 100, reward: -28.23
